name_file,dir_name,error_message,error_file,full_error
EHP785e7697c981605.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/EHP785e7697c981605.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:09  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.785 ms  Memory peak 2.00MB
ES5235e7697c65b21e.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/ES5235e7697c65b21e.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:06  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 37.422 ms  Memory peak 2.00MB
G3GA25e7697c31b78c.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/G3GA25e7697c31b78c.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:03  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 38.006 ms  Memory peak 2.00MB
H2V275e7697c76642f.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/H2V275e7697c76642f.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:07  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 38.657 ms  Memory peak 4.00MB
IT0U35e7697c5c0fff.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/IT0U35e7697c5c0fff.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:05  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.211 ms  Memory peak 2.00MB
NGVWQ5e7697bf2d6f5.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/NGVWQ5e7697bf2d6f5.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:39:59  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.494 ms  Memory peak 2.00MB
P39BL5e7697c9e10bd.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/P39BL5e7697c9e10bd.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:09  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 35.912 ms  Memory peak 2.00MB
QFX2O5e7697c7d89ba.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/QFX2O5e7697c7d89ba.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:07  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.174 ms  Memory peak 2.00MB
QV3AF5e7697c8c7692.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/QV3AF5e7697c8c7692.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:08  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 35.539 ms  Memory peak 2.00MB
SMEFS5e7697c9506d4.error.html,/home/tungnt/Desktop/Nodejs/checkerror/var_www_9prints_store_site_uniteelo_com_var_debug_13_May_2020_tar/debug/error/21.03.2020/SMEFS5e7697c9506d4.error.html,Error message: Call to a member function getImages() on null,Error file: /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114], Server IP 172.31.18.188  Server time 21/03/2020 17:40:09  Error message Call to a member function getImages() on null  Error file /var/www/9prints/store/code/component/core/catalog/model/product/review.php [114]  Total process 7  Total time 36.245 ms  Memory peak 2.00MB
